congress,chamber,icpsr,bioname,party_code,post_mean,post_median,post_sd,post_025,post_975,nominate_dim1,nominate_dim2
114,House,20103,"HONDA, Mike",100,-2.336553310695759,-2.337366170602672,0.08427029872405448,-2.499794494965353,-2.169084782772533,-0.529,-0.482
114,House,20104,"SCHIFF, Adam",100,-1.7962623566662312,-1.7960630816652068,0.0825402548667741,-1.9578064306666594,-1.6347426557272684,-0.35,-0.133
114,House,20107,"ISSA, Darrell",200,1.3326236339562039,1.3329007516665874,0.06368028838680681,1.2088569492660102,1.4563155961432233,0.496,-0.046
114,House,20108,"DAVIS, Susan A.",100,-1.597290662932218,-1.5970869200243236,0.07305523847439772,-1.7434927013609476,-1.4559702369837884,-0.343,-0.103
114,House,20110,"MILLER, Jefferson B. (Jeff)",200,1.590406094999083,1.5909785708754098,0.06615909317340098,1.4609602740204723,1.718510166937353,0.633,0.155
114,House,20111,"CRENSHAW, Ander",200,0.9380926878373781,0.9381302890522806,0.05745563114604633,0.8260846461857047,1.0513631588032206,0.333,0.337
114,House,20119,"LYNCH, Stephen F.",100,-1.6026934167139821,-1.601604412040682,0.07559946749348267,-1.7531211727555476,-1.459265775124896,-0.349,0.04
114,House,20122,"McCOLLUM, Betty",100,-1.9821751908264091,-1.981192193528407,0.08978947103709159,-2.15914537604267,-1.807995945306738,-0.417,-0.185
114,House,20124,"GRAVES, Samuel",200,1.066858720675718,1.0664697781433496,0.061556224828887375,0.94772173745874,1.1893195332119446,0.443,0.194
114,House,20129,"ISRAEL, Steve",100,-1.7161608777419122,-1.7153689153601597,0.0795910247669931,-1.8725096788824258,-1.563313707903565,-0.334,-0.051
114,House,20130,"TIBERI, Patrick (Pat)",200,0.9728232722739597,0.9729606255244965,0.05795817329081605,0.8598935113195028,1.0848102586078385,0.386,-0.026
114,House,20134,"SHUSTER, William (Bill)",200,0.968863398699509,0.9686234938415431,0.057987797931017236,0.8572072006619722,1.0826948113890789,0.374,0.323
114,House,20136,"LANGEVIN, James",100,-1.5296230592019615,-1.5279088299072847,0.07056327540041814,-1.6694901680456826,-1.392381438926306,-0.375,0.114
114,House,20138,"WILSON, Addison Graves (Joe)",200,1.3242825295092941,1.324189159440602,0.06159679374869798,1.2031593767870712,1.4441282991847273,0.531,0.139
114,House,20139,"CULBERSON, John",200,1.362105772775991,1.3624376053437215,0.06361083490170182,1.2379979729679245,1.4864103458175915,0.503,0.366
114,House,20143,"FORBES, J. Randy",200,1.3874241658956634,1.3869574541950391,0.063693867622088507,1.263666435840336,1.5144079660502845,0.407,0.218
114,House,20145,"LARSEN, Richard Ray (Rick)",100,-1.4872921291865537,-1.486061156301679,0.06910196955004312,-1.6258133090044733,-1.3535315863218733,-0.365,0.186
114,House,20147,"CLAY, William Lacy, Jr.",100,-1.7521636077829137,-1.751367731305975,0.07980183077547635,-1.912547920625694,-1.5989064514432767,-0.481,-0.078
114,House,20301,"ROGERS, Mike Dennis",200,1.1136693268887288,1.113306193962719,0.0592254382376254,0.9995350242783906,1.228757869565411,0.36,0.463
114,House,20304,"FRANKS, Trent",200,1.7814152754666197,1.7818106299253782,0.06459729027368018,1.655820041117015,1.9081073484968927,0.749,0.087
114,House,20305,"GRIJALVA, Raúl M.",100,-2.6012658962969963,-2.602976213321556,0.0817815954173712,-2.76065184769879,-2.4362334761740088,-0.598,-0.256
114,House,20307,"NUNES, Devin",200,0.9970045083890204,0.9967103126361834,0.05766805924978982,0.8835929981252568,1.1088396014317428,0.45,0.223
114,House,20310,"SÁNCHEZ, Linda T.",100,-2.042659170846067,-2.04292145901342,0.08855798956691498,-2.2176673371635713,-1.8710090482035713,-0.507,-0.137
114,House,20316,"DIAZ-BALART, Mario",200,0.6425238420829845,0.6421066501088283,0.05267576142976001,0.5401611786162821,0.7445545550141276,0.282,0.129
114,House,20321,"SCOTT, David",100,-1.1496795279918646,-1.148828249456399,0.05734519920549731,-1.263546567712357,-1.0391603282310937,-0.302,0.165
114,House,20325,"KING, Steve",200,1.5878742210858334,1.5877018955548365,0.06713751278808977,1.4558147163410682,1.7207446740266268,0.613,0.171
114,House,20329,"RUPPERSBERGER, C. A. (Dutch)",100,-1.1531728300789763,-1.152636513229802,0.0567618969164591,-1.2645679263873009,-1.0424065631685244,-0.295,0.131
114,House,20330,"VAN HOLLEN, Christopher",100,-2.064688056067791,-2.0657506803807957,0.09050254907429625,-2.240394377327509,-1.8863436182649433,-0.391,-0.208
114,House,20331,"MILLER, Candice S.",200,1.0204234319122083,1.0206014289563377,0.05904116145192492,0.9056497786352368,1.13781330208973,0.343,-0.001
114,House,20333,"KLINE, John",200,1.0773165966096712,1.0774160266231232,0.059267008993029245,0.9622686116895085,1.194782614914364,0.49,0.154
